#period	period time	calc time
1	1741	1256
2	1747	1259
3	1499	1005
4	1500	1755
5	2247	1002
6	1498	761
7	1501	754
8	1254	1000
9	1494	751
10	1247	1003
11	1249	998
12	1499	1003
13	1497	754
14	1251	1001
15	1505	743
16	1242	1002
17	1499	752
18	1250	1003
19	1252	999
20	1493	1004
21	1499	754
22	1251	748
23	1249	1001
24	1497	752
25	1249	1004
26	1499	758
27	1250	1004
28	1499	1001
29	1248	1003
30	1504	750
31	1243	1002
32	1499	753
33	1249	753
34	1249	1252
35	1503	999
36	1492	1002
37	1249	1011
38	1501	752
39	1248	1003
40	1498	752
41	1254	748
42	1494	1002
43	1249	1004
44	1499	1001
45	1248	1002
46	1249	1002
47	1500	1001
48	1247	1011
49	1501	1251
50	1499	1002
51	1498	751
52	1245	1007
53	1503	752
54	1249	752
55	1249	998
56	1499	1001
57	1498	1002
58	1249	1001
59	1497	760
60	1250	1001
61	1499	752
62	1249	752
63	1251	1253
64	1497	1001
65	1498	1001
66	1249	1003
67	1499	752
68	1249	1001
69	1498	756
70	1249	760
71	1499	1004
72	1248	1001
73	1498	1001
74	1253	998
75	1244	1001
76	1499	1002
77	1248	1002
78	1498	1252
79	1499	997
80	1497	752
81	1249	1010
82	1502	750
83	1248	751
84	1248	1002
85	1503	999
86	1494	1002
87	1246	1005
88	1500	753
89	1249	1002
90	1499	751
91	1247	751
92	1248	1261
93	1501	1002
94	1498	1003
95	1248	1008
96	1499	752
97	1249	1002
98	1498	753
99	1250	752
100	1498	1001
101	1249	1002
102	1499	1001
103	1250	1006
104	1500	749
105	1246	1002
106	1499	756
107	1250	1251
108	1503	995
109	1492	752
110	1250	1002
111	1498	751
112	1248	751
113	1499	1011
114	1251	1000
115	1498	1001
116	1248	1002
117	1504	748
118	1244	1002
119	1499	1252
120	1748	1002
121	1249	1251
122	1748	1001
123	1248	998
124	1254	1000
125	1497	1000
126	1247	1002
127	1248	1009
128	1500	1002
129	1498	753
130	1249	1003
131	1499	752
132	1248	755
133	1250	1005
134	1498	756
135	1251	763
136	1497	1003
137	1250	1004
138	1503	1000
139	1244	1002
140	1498	753
141	1249	1002
142	1497	753
143	1249	1251
144	1499	1002
145	1502	759
146	1246	1002
147	1496	755
148	1252	757
149	1248	1002
150	1498	1002
151	1499	1003
152	1249	1003
153	1248	1003
154	1498	1003
155	1499	752
156	1256	748
157	1242	1253
158	1499	1002
159	1500	1004
160	1502	749
161	1245	752
162	1499	752
163	1249	1002
164	1249	1003
165	1499	1002
166	1497	764
167	1250	1002
168	1498	753
169	1249	753
170	1254	999
171	1494	753
172	1249	1254
173	1499	1002
174	1499	751
175	1248	1001
176	1497	752
177	1246	759
178	1254	1002
179	1498	1002
180	1498	1008
181	1250	1002
