#period	period time	calc time
1	1985	999
2	2011	1246
3	1993	1258
4	2003	1247
5	2243	1001
6	1749	1006
7	2000	999
8	1997	1001
9	1998	1250
10	2248	1000
11	1747	1010
12	2000	1001
13	1998	1001
14	2003	1247
15	2244	1000
16	1997	1003
17	1749	1001
18	1998	1000
19	2006	1245
20	2242	1007
21	1749	1006
22	1998	1001
23	2248	750
24	1748	1250
25	2248	1000
26	1747	1010
27	2251	750
28	1748	1001
29	2250	1000
30	1495	1003
31	2501	750
32	1997	751
33	1749	1001
34	2252	998
35	1751	997
36	1994	1008
37	2250	749
38	2000	748
39	1746	1252
40	2248	999
41	1747	1001
42	2000	1001
43	2249	750
44	1998	1001
45	2001	998
46	1996	1001
47	1749	1250
48	1999	1000
49	2248	1001
50	1499	1000
51	2504	746
52	1993	751
53	1998	1251
54	1749	1001
55	2249	750
56	1998	1001
57	2000	750
58	1997	1001
59	1998	1001
60	1749	1002
61	2248	1001
62	1999	1001
63	1998	751
64	1998	1001
65	1998	1001
66	2000	1000
67	1998	1001
68	1998	1002
69	1998	1001
70	1748	1005
71	2250	1000
72	1998	1001
73	1998	1000
74	1999	999
75	1746	1001
76	2248	760
77	2001	1000
78	1999	1000
79	1997	1002
80	1748	751
81	2001	998
82	2245	1001
83	1999	1001
84	1998	1252
85	1749	1001
86	2248	1001
87	1998	1001
88	1998	1002
89	1999	1001
90	1748	1003
91	2248	1001
92	1998	1001
93	1999	1001
94	1999	1251
95	1749	750
96	2248	1001
97	1998	1001
98	1998	1002
99	1998	1251
100	1749	751
101	2249	1000
102	1997	1002
103	1991	1009
104	2006	1251
105	1998	751
106	1999	1001
107	1998	1001
108	1998	1001
109	1998	1251
110	1999	1013
111	1999	1003
112	1999	1012
113	1998	1003
114	1998	1250
115	1748	1000
116	2246	1002
117	1999	1001
118	2001	1001
119	1997	1251
120	1999	753
121	1996	1003
122	2001	1001
123	1997	1002
124	2000	1251
125	1999	1000
126	1998	1001
127	1999	1000
128	1997	1001
129	1999	1250
130	1999	1002
131	1998	1000
132	1998	1001
133	1998	1000
134	1999	1251
135	2248	751
136	1749	1001
137	1998	1004
138	1999	1001
139	1999	1250
140	1999	1000
141	1999	1001
142	1998	1001
143	1999	1002
144	1998	1241
145	1998	1000
146	1999	1001
147	1998	1000
148	1998	1001
149	1998	1251
150	1998	1001
151	1999	1000
152	1998	1002
153	1999	1000
154	1998	1251
155	2248	751
156	1751	999
157	1996	1000
158	1998	1001
159	1998	1258
160	2001	1000
161	1997	1001
162	1999	1001
163	1999	1000
164	1998	1249
165	2249	750
166	1748	1001
167	1998	1000
168	1998	1001
169	1999	1248
170	2248	752
171	1748	1001
172	1998	1001
173	1998	1001
174	1999	1250
175	1998	750
176	1998	1001
177	1998	1001
178	1999	1001
179	1998	1250
180	2249	751
181	1749	1000
182	1998	1001
183	1998	992
184	1999	1251
185	2249	750
186	1748	1001
187	1999	1000
188	1998	1001
189	1999	1250
190	1998	751
191	1999	1000
192	1998	1001
193	1998	1001
194	1998	1251
195	1999	1001
196	1999	1000
197	1999	1000
198	1998	1001
199	1998	1250
